State,Governor,Party,Born,Prior public experience,Inauguration,End of term
Alabama,Kay Ivey,Republican,"(1944-10-15) October 15, 1944 (age 75)","Lieutenant Governor, Treasurer",10-Apr-17,2023
Alaska,Mike Dunleavy,Republican,"(1961-05-05) May 5, 1961 (age 59)",Alaska Senate,3-Dec-18,2022
Arizona,Doug Ducey,Republican,"(1964-04-09) April 9, 1964 (age 56)",Treasurer,5-Jan-15,2023 (term limits)
Arkansas,Asa Hutchinson,Republican,"(1950-12-03) December 3, 1950 (age 69)","Under Secretary of Homeland Security for Border & Transportation Security,
Administrator of the Drug Enforcement Administration, U.S. House, U.S. 
Attorney",13-Jan-15,2023 (term limits)
California,Gavin Newsom,Democratic,"(1967-10-10) October 10, 1967 (age 52)","Lieutenant Governor, Mayor of San Francisco",7-Jan-19,2023
Colorado,Jared Polis,Democratic,"(1975-05-12) May 12, 1975 (age 45)","U.S. House, Colorado State Board of Education",8-Jan-19,2023
Connecticut,Ned Lamont,Democratic,"(1954-01-03) January 3, 1954 (age 66)",Greenwich Selectman,9-Jan-19,2023
Delaware,John Carney,Democratic,"(1956-05-20) May 20, 1956 (age 64)","U.S. House, Lieutenant Governor",17-Jan-17,2021
Florida,Ron DeSantis,Republican,"(1978-09-14) September 14, 1978 (age 42)",U.S. House,8-Jan-19,2023
Georgia,Brian Kemp,Republican,"(1963-11-02) November 2, 1963 (age 56)","Secretary of State, Georgia Senate",14-Jan-19,2023
Hawaii,David Ige,Democratic,"(1957-01-15) January 15, 1957 (age 63)","Hawaii Senate, Hawaii House",1-Dec-14,2022 (term limits)
Idaho,Brad Little,Republican,"(1954-02-15) February 15, 1954 (age 66)","Lieutenant Governor, Idaho Senate",7-Jan-19,2023
Illinois,J. B. Pritzker,Democratic,"(1965-01-19) January 19, 1965 (age 55)",No prior public experience,14-Jan-19,2023
Indiana,Eric Holcomb,Republican,"(1968-05-02) May 2, 1968 (age 52)","Lieutenant Governor, Chief of Staff to SenatorDan Coats, Chair of the Indiana 
Republican Party, Deputy Chief of Staff to the Governor of Indiana",9-Jan-17,2021
Iowa,Kim Reynolds,Republican,"(1959-08-04) August 4, 1959 (age 61)","Lieutenant Governor, Iowa Senate",24-May-17,2023
Kansas,Laura Kelly,Democratic,"(1950-01-24) January 24, 1950 (age 70)",Kansas Senate,14-Jan-19,2023
Kentucky,Andy Beshear,Democratic,"(1977-11-29) November 29, 1977 (age 42)",Attorney General,10-Dec-19,2023
Louisiana,John Bel Edwards,Democratic,"(1966-09-16) September 16, 1966 (age 53)",Minority Leader of the Louisiana House,11-Jan-16,2024 (term limits)
Maine,Janet Mills,Democratic,"(1947-12-30) December 30, 1947 (age 72)","Attorney General, Maine House",2-Jan-19,2023
Maryland,Larry Hogan,Republican,"(1956-05-25) May 25, 1956 (age 64)",Secretary of Appointments,21-Jan-15,2023 (term limits)
Massachusetts,Charlie Baker,Republican,"(1956-11-13) November 13, 1956 (age 63)","Swampscott Selectman, Secretary of Administration and Finance,
Secretary of Health and Human Services",8-Jan-15,2023
Michigan,Gretchen Whitmer,Democratic,"(1971-08-23) August 23, 1971 (age 49)","Michigan Senate, Michigan House",1-Jan-19,2023
Minnesota,Tim Walz,Democratic–Farmer–Labor,"(1964-04-06) April 6, 1964 (age 56)",U.S. House,7-Jan-19,2023
Mississippi,Tate Reeves,Republican,"(1974-06-05) June 5, 1974 (age 46)","Lieutenant Governor, Treasurer",14-Jan-20,2024
Missouri,Mike Parson,Republican,"(1955-09-17) September 17, 1955 (age 64)","Lieutenant Governor, Missouri Senate, Missouri House, Sheriff of Polk County",1-Jun-18,2021
Montana,Steve Bullock,Democratic,"(1966-04-11) April 11, 1966 (age 54)",Attorney General,7-Jan-13,2021 (term limits)
Nebraska,Pete Ricketts,Republican,"(1964-08-19) August 19, 1964 (age 56)",No prior public experience,8-Jan-15,2023 (term limits)
Nevada,Steve Sisolak,Democratic,"(1953-12-26) December 26, 1953 (age 66)","Clark County Commission, Nevada Board of Regents",7-Jan-19,2023
New Hampshire,Chris Sununu,Republican,"(1974-11-05) November 5, 1974 (age 45)",New Hampshire Executive Council,5-Jan-17,2021
New Jersey,Phil Murphy,Democratic,"(1957-08-16) August 16, 1957 (age 63)","U.S. Ambassador, Finance Chair of the Democratic National Committee",16-Jan-18,2022
New Mexico,Michelle Lujan Grisham,Democratic,"(1959-10-24) October 24, 1959 (age 60)","U.S. House, Secretary of Health",1-Jan-19,2023
New York,Andrew Cuomo,Democratic,"(1957-12-06) December 6, 1957 (age 62)","Attorney General, U.S. Secretary of Housing and Urban Development",1-Jan-11,2022[1]
North Carolina,Roy Cooper,Democratic,"(1957-06-13) June 13, 1957 (age 63)","Attorney General, North Carolina Senate, North Carolina House",1-Jan-17,2021
North Dakota,Doug Burgum,Republican,"(1956-08-01) August 1, 1956 (age 64)",No prior public experience,15-Dec-16,2020
Ohio,Mike DeWine,Republican,"(1947-01-05) January 5, 1947 (age 73)","Attorney General, U.S. Senate, Lieutenant Governor, U.S. House, Ohio Senate",14-Jan-19,2023
Oklahoma,Kevin Stitt,Republican,"(1972-12-28) December 28, 1972 (age 47)",No prior public experience,14-Jan-19,2023
Oregon,Kate Brown,Democratic,"(1960-06-21) June 21, 1960 (age 60)","Secretary of State, Oregon Senate, Oregon House",18-Feb-15,2023 (term limits)
Pennsylvania,Tom Wolf,Democratic,"(1948-11-17) November 17, 1948 (age 71)",Secretary of Revenue,20-Jan-15,2023 (term limits)
Rhode Island,Gina Raimondo,Democratic,"(1971-05-17) May 17, 1971 (age 49)",General Treasurer,6-Jan-15,2023 (term limits)
South Carolina,Henry McMaster,Republican,"(1947-05-27) May 27, 1947 (age 73)","Lieutenant Governor, Attorney General, Chair of the South Carolina 
Republican Party, U.S. Attorney",24-Jan-17,2023
South Dakota,Kristi Noem,Republican,"(1971-11-30) November 30, 1971 (age 48)","U.S. House, South Dakota House",5-Jan-19,2023
Tennessee,Bill Lee,Republican,"(1959-10-09) October 9, 1959 (age 60)",No prior public experience,19-Jan-19,2023
Texas,Greg Abbott,Republican,"(1957-11-13) November 13, 1957 (age 62)","Attorney General, Associate Justice of the Texas Supreme Court",20-Jan-15,2023
